id,codigomex2,nombre_del_alimento,energ_kcal,carbohydrt,lipid_tot,protein
1,1000,"ACEITE, DE AJONJOLI",884,0,100,0
2,1001,"ACEITE, DE ALGODON",884,0,100,0
3,1002,"ACEITE, DE CACAHUATE",884,0,100,0
4,1003,"ACEITE, DE CANOLA",884,0,100,0
5,1004,"ACEITE, DE CANOLA",884,0,100,0
6,1005,"ACEITE, DE CARTAMO",884,0,100,0
7,1006,"ACEITE, DE COCO",892,0,99.06,0
8,1007,"ACEITE, DE GIRASOL",884,0,100,0
9,1008,"ACEITE, DE MAIZ",900,0,100,0
10,1009,"ACEITE, DE OLIVA",884,0,100,0
11,1010,"ACEITE, DE SOYA",884,0,100,0
12,1011,ACEITE EN AEROSOL (PAM),843.75,0,93.75,0
13,1012,"ACEITE, VEGETAL (PROMEDIO)",853.9,0,95.76,0
14,1013,"ACEITE, VEGETAL PROMEDIO (CANOLA, MAIZ, CARTAMO, GIRASOL, SOYA Y OLIVA, PONDERADO DE ENSANUT 2016)",887.86,0,100,0
15,1014,"ACEITE, VEGETAL PROMEDIO (CARTAMO, MAIZ, GIRASOL, CANOLA, SOYA, OLIVA, ALGODON, AJONJOLI Y CACAHUATE, PONDERADO DE ENSANUT 2012)",887.32,0,99.99,0
16,1015,"ADEREZO, TODOS TIPOS",337.83,10.36,32.75,0.41
17,1016,"ADEREZO, AGRIDULCE (P/ENSALADAS)",15,3.7,0,0.1
18,1017,"ADEREZO, CESAR (P/ENSALADAS)",542,3.3,57.85,2.17
19,1018,"ADEREZO, DE MOSTAZA DULCE (P/ENSALADAS)",464,23.33,40.83,0.87
20,1019,"ADEREZO, DE QUESO AZUL O ROQUEFORT (P/ENSALADAS)",484,4.77,51.1,1.37
21,1020,ADEREZO ITALIANO (P/ENSALADAS),319.22,8.33,31.67,0.22
22,1021,"ADEREZO, MIL ISLAS (P/ENSALADAS)",379,14.64,35.06,01.09
23,1022,"ADEREZO, RANCH (P/ENSALADAS)",430,5.9,44.54,1.32
24,1023,LARDO,902,0,100,0
25,1024,"MANTECA, ANIMAL PROMEDIO",902,0,100,0
26,1025,"MANTECA, VEGETAL PROMEDIO",884,0,99.97,0
27,1026,"MANTEQUILLA, CON SAL",729,0,80,0
28,1027,"MANTEQUILLA, SIN SAL",734,0.97,80.33,0.37
29,1028,"MARGARINA, CON SAL",739.22,1.66,80.66,1.66
30,1029,"MARGARINA, LIGHT",349,1.52,37.98,0.23
31,1030,MARGARINA SIN SAL (PRIMAVERA CHANTILLY),540,0,60,0
32,1031,MAYONESA,519.55,2.33,54.43,0.78
33,1032,"MAYONESA, LIGHT (ANÁLISIS DIRECTO)",238,9.23,22.22,0.37
34,1033,MAYONESA LIGHT (PROMEDIO ETIQUETAS),328.45,9.33,32,0.78
35,1034,"SUSTITUTO DE CREMA, LIGHT",439.68,75,15.12,0.9
36,2000,"ALIMENTO PARA BEBE GERBER, 4 CEREALES (CEREAL)",366.67,78.67,3,6.67
37,2001,"ALIMENTO PARA BEBE GERBER, ARROZ (CEREAL)",370.58,80,2.66,6.66
